Query,Original Time(ms),Re-optimized Time(ms)
1a.sql,23,28
1b.sql,13,25
1c.sql,20,20
1d.sql,13,27
2a.sql,713,741
2b.sql,735,291
2c.sql,706,180
2d.sql,1190,1699
3a.sql,223,218
3b.sql,149,153
3c.sql,409,395
4a.sql,167,239
4b.sql,135,148
4c.sql,183,199
5a.sql,327,323
5b.sql,319,318
5c.sql,365,373
6a.sql,41,40
6b.sql,281,641
6c.sql,30,29
6d.sql,10317,11004
6e.sql,44,42
6f.sql,11019,11342
7a.sql,1477,1472
7b.sql,271,265
7c.sql,5044,15318
8a.sql,4720,1740
8b.sql,664,697
8c.sql,8066,8213
8d.sql,4886,4893
9a.sql,1100,1121
9b.sql,1084,1082
9c.sql,3210,3244
9d.sql,6964,6867
10a.sql,968,1021
10b.sql,232,218
10c.sql,9403,7765
11a.sql,116,188
11b.sql,71,127
11c.sql,273,374
11d.sql,252,2737
12a.sql,568,572
12b.sql,18,33
12c.sql,2758,2747
13a.sql,4468,4607
13b.sql,1647,1699
13c.sql,1539,1529
13d.sql,7099,5714
14a.sql,392,840
14b.sql,219,468
14c.sql,1217,1462
15a.sql,1081,1086
15b.sql,82,80
15c.sql,991,994
15d.sql,1467,1132
16a.sql,284,743
16b.sql,32181,11607
16c.sql,3071,2963
16d.sql,2434,3002
17a.sql,19042,6989
17b.sql,14177,6418
17c.sql,12766,5790
17d.sql,14521,6260
17e.sql,19590,9562
17f.sql,18397,8278
18a.sql,15323,16412
18b.sql,721,734
18c.sql,20427,20161
19a.sql,1127,1141
19b.sql,548,629
19c.sql,3317,3263
19d.sql,21968,11130
20a.sql,4980,4118
20b.sql,3965,2536
20c.sql,2407,1876
21a.sql,149,159
21b.sql,132,154
21c.sql,139,168
22a.sql,644,1368
22b.sql,403,609
22c.sql,3314,1857
22d.sql,1628,2102
23a.sql,476,499
23b.sql,129,111
23c.sql,857,902
24a.sql,825,2544
24b.sql,148,95
25a.sql,6453,6280
25b.sql,426,722
25c.sql,18044,17882
26a.sql,918,849
26b.sql,293,201
26c.sql,4091,1866
27a.sql,122,138
27b.sql,104,66
27c.sql,264,135
28a.sql,1253,975
28b.sql,1496,464
28c.sql,1473,1388
29a.sql,278,80
29b.sql,221,410
29c.sql,225,192
30a.sql,9320,1547
30b.sql,641,535
30c.sql,6649,5373
31a.sql,3813,627
31b.sql,648,326
31c.sql,3816,844
32a.sql,29,29
32b.sql,185,335
33a.sql,152,151
33b.sql,165,91
33c.sql,328,106
